"Dimension.MONTH_AND_YEAR","Dimension.CREATIVE_SIZE","Column.TOTAL_INVENTORY_LEVEL_IMPRESSIONS","1006611"
"2015-09","360 x 80","8720368","4595"
"2015-09","370 x 220","4979443","4595"
"2015-09","4 x 4","9","4595"
"2015-09","400 x 50","404094","4595"
"2015-09","468 x 60","1524366","4595"
"2015-09","470 x 200","277","4595"
"2015-09","470 x 55","310539","4595"
"2015-09","500 x 54","7342324","4595"
"2015-09","500 x 70","64958993","4595"
"2015-09","502 x 100","40802","4595"
"2015-09","600 x 60","1238605","4595"
"2015-09","616 x 156","686975","4595"
"2015-09","620 x 140","3328041","4595"
"2015-09","636 x 409","2892079","4595"
"2015-09","636 x 60","989505","4595"
"2015-09","64 x 32","33595321","4595"
"2015-09","640 x 35","674733","4595"
"2015-09","640 x 360v","157655884","4595"
"2015-09","650 x 100","7415","4595"
"2015-09","650 x 137","5618042","4595"
"2015-09","650 x 60","1032756","4595"
"2015-09","650 x 80","737601","4595"
"2015-09","700 x 150","17978","4595"
"2015-09","720 x 300","223657","4595"
"2015-09","728 x 90","652312216","4595"
"2015-09","75 x 23","1682","4595"
"2015-09","75 x 40","137302","4595"
"2015-09","758 x 100","72921","4595"
"2015-09","768 x 1024","6664","4595"
"2015-09","780 x 60","119421","4595"
"2015-09","880 x 60","493374","4595"
"2015-09","920 x 60","593","4595"
"2015-09","940 x 700","254932","4595"
"2015-09","940 x 90","374190","4595"
"2015-09","943 x 523","2741923","4595"
"2015-09","960 x 100","102895","4595"
"2015-09","960 x 30","46217","4595"
"2015-09","960 x 50","3138645","4595"
"2015-09","960 x 60","12751552","4595"
"2015-09","960 x 700","75993","4595"
"2015-09","960 x 90","4","4595"
"2015-09","970 x 60","613841","4595"
"2015-09","970 x 700","10","4595"
"2015-09","970 x 90","14085636","4595"
"2015-09","980 x 50","1475145","4595"
"2015-09","980 x 60","403940","4595"
"2015-09","980 x 700","1792099","4595"
"2015-09","980 x 90","1207110","4595"
"2015-09","981 x 700","54989","4595"
"2015-09","985 x 40","1045","4595"
"2015-09","985 x 50","93369301","4595"
"2015-09","985 x 55","72253","4595"
"2015-09","985 x 60","35916128","4595"
"2015-09","991 x 700","25523","4595"
"2015-09","Out-of-page","195695","4595"
"2015-10","1 x 1","161387109","4595"
"2015-10","1 x 3","31742906","4595"
"2015-10","1 x 4","1858372","4595"
"2015-10","1 x 5","425968","4595"
"2015-10","100 x 30","768847","4595"
"2015-10","1000 x 509","808816","4595"
"2015-10","1000 x 700","926886","4595"
"2015-10","1000 x 90","12927","4595"
"2015-10","1024 x 66","49684161","4595"
"2015-10","1024 x 768","9974","4595"
"2015-10","104 x 30","1333","4595"
"2015-10","110 x 27","7008858","4595"
"2015-10","115 x 130","19454","4595"
"2015-10","120 x 30","426","4595"
"2015-10","120 x 40","124957","4595"
"2015-10","120 x 60","16276521","4595"
"2015-10","120 x 90","203538","4595"
"2015-10","130 x 45","377033","4595"
"2015-10","135 x 20","2945412","4595"
"2015-10","135 x 50","71993","4595"
"2015-10","140 x 30","15949501","4595"
"2015-10","145 x 22","2231962","4595"
"2015-10","150 x 20","1440724","4595"
"2015-10","150 x 22","861102","4595"
"2015-10","150 x 25","779496","4595"
"2015-10","150 x 30","1355968","4595"
"2015-10","150 x 37","1319","4595"
"2015-10","150 x 40","1525332","4595"
"2015-10","150 x 42","540083","4595"
"2015-10","150 x 45","5765927","4595"
"2015-10","150 x 50","774775","4595"
"2015-10","160 x 150","9719469","4595"
"2015-10","160 x 160","61913","4595"
"2015-10","160 x 40","125646","4595"
"2015-10","160 x 600","44930450","4595"
"2015-10","1600 x 1050","434252","4595"
"2015-10","165 x 45","740904","4595"
"2015-10","168 x 28","6","4595"
"2015-10","170 x 20","1352059","4595"
"2015-10","170 x 30","203078","4595"
"2015-10","170 x 40","192849","4595"
"2015-10","170 x 60","9461","4595"
"2015-10","180 x 150","41084198","4595"
"2015-10","180 x 20","816284","4595"
"2015-10","180 x 30","2715992","4595"
"2015-10","180 x 40","1715","4595"
"2015-10","180 x 52","254764","4595"
"2015-10","195 x 22","17","4595"
"2015-10","196 x 27","1223455","4595"
"2015-10","2 x 1","1442588","4595"
"2015-10","200 x 12","8540859","4595"
"2015-10","200 x 160","1823629","4595"
"2015-10","200 x 20","2355429","4595"
"2015-10","200 x 25","122712","4595"
"2015-10","200 x 30","474202","4595"
"2015-10","200 x 40","3107610","4595"
"2015-10","200 x 43","74095","4595"
"2015-10","200 x 45","457115","4595"
"2015-10","200 x 50","1369772","4595"
"2015-10","200 x 90","2501625","4595"
"2015-10","210 x 50","993","4595"
"2015-10","220 x 30","44418488","4595"
"2015-10","220 x 90","50705139","4595"
"2015-10","226 x 90","37162415","4595"
"2015-10","230 x 45","252986","4595"
"2015-10","230 x 80","29466808","4595"
"2015-10","230 x 90","5975671","4595"
"2015-10","234 x 60","16142442","4595"
"2015-10","235 x 15","33186666","4595"
"2015-10","235 x 16","2358452","4595"
"2015-10","235 x 90","12098738","4595"
"2015-10","240 x 50","76243","4595"
"2015-10","250 x 208","112152","4595"
"2015-10","260 x 53","817857","4595"
"2015-10","265 x 22","9062480","4595"
"2015-10","280 x 100","59325174","4595"
"2015-10","292 x 60","617658","4595"
"2015-10","296 x 37","543997","4595"
"2015-10","298 x 75","1242090","4595"
"2015-10","3 x 3","205424321","4595"
"2015-10","3 x 4","50448","4595"
"2015-10","300 x 100","100949155","4595"
"2015-10","300 x 150","8152825","4595"
"2015-10","300 x 180","2444579","4595"
"2015-10","300 x 200","156","4595"
"2015-10","300 x 250","1474013689","4595"
"2015-10","300 x 30","256182","4595"
"2015-10","300 x 35","678934","4595"
"2015-10","300 x 40","66322","4595"
"2015-10","300 x 50","10587458","4595"
"2015-10","300 x 54","156751","4595"
"2015-10","300 x 60","1477887","4595"
"2015-10","300 x 600","18556883","4595"
"2015-10","310 x 120","2710","4595"
"2015-10","320 x 160","7249728","4595"
"2015-10","320 x 25","526651","4595"
"2015-10","320 x 26","3172157","4595"
"2015-10","320 x 28","75623189","4595"
"2015-10","320 x 30","66960731","4595"
"2015-10","320 x 50","2162871464","4595"
"2015-10","320 x 66","98882397","4595"
"2015-10","350 x 50","599752","4595"
"2015-10","360 x 150","20550065","4595"
"2015-10","360 x 50","5505665","4595"
"2015-10","360 x 80","5034878","4595"
"2015-10","370 x 220","3732795","4595"
"2015-10","375 x 50","10","4595"
"2015-10","4 x 4","10","4595"
"2015-10","400 x 50","444518","4595"
"2015-10","468 x 60","1339447","4595"
"2015-10","470 x 200","167","4595"
"2015-10","500 x 54","4501504","4595"
"2015-10","500 x 70","48709959","4595"
"2015-10","502 x 100","37898","4595"
"2015-10","535 x 40","29","4595"
"2015-10","600 x 60","1017901","4595"
"2015-10","616 x 156","428773","4595"
"2015-10","620 x 140","2859090","4595"
"2015-10","636 x 409","2032728","4595"
"2015-10","636 x 60","684115","4595"
"2015-10","64 x 32","19939932","4595"
"2015-10","640 x 35","643503","4595"
"2015-10","640 x 360v","153569543","4595"
"2015-10","650 x 100","6829","4595"
"2015-10","650 x 137","4162836","4595"
"2015-10","650 x 60","752848","4595"
"2015-10","650 x 80","431963","4595"
"2015-10","700 x 150","13022","4595"
"2015-10","720 x 300","206477","4595"
"2015-10","728 x 90","632566403","4595"
"2015-10","75 x 23","1292","4595"
"2015-10","75 x 40","101123","4595"
"2015-10","758 x 100","69648","4595"
"2015-10","768 x 1024","6146","4595"
"2015-10","780 x 60","100738","4595"
"2015-10","880 x 60","395793","4595"
"2015-10","920 x 60","1384","4595"
"2015-10","940 x 700","128370","4595"
"2015-10","940 x 90","214494","4595"
"2015-10","943 x 523","1202021","4595"
"2015-10","960 x 100","169489","4595"
"2015-10","960 x 50","2801387","4595"
"2015-10","960 x 60","9303081","4595"
"2015-10","960 x 700","206173","4595"
"2015-10","960 x 90","242999","4595"
"2015-10","970 x 60","581858","4595"
"2015-10","970 x 700","6","4595"
"2015-10","970 x 90","20712810","4595"
"2015-10","980 x 40","7020","4595"
"2015-10","980 x 50","693079","4595"
"2015-10","980 x 60","624644","4595"
"2015-10","980 x 700","1565441","4595"
"2015-10","980 x 90","902241","4595"
"2015-10","981 x 700","35056","4595"
"2015-10","985 x 40","1123","4595"
"2015-10","985 x 50","101260098","4595"
"2015-10","985 x 55","62187","4595"
"2015-10","985 x 60","32354789","4595"
"2015-10","991 x 700","17383","4595"
"2015-10","Out-of-page","20133170","4595"
"2015-11","1 x 1","156635701","4595"
"2015-11","1 x 3","28719413","4595"
"2015-11","1 x 4","1320155","4595"
"2015-11","1 x 5","256750","4595"
"2015-11","100 x 30","634783","4595"
"2015-11","1000 x 509","922351","4595"
"2015-11","1000 x 700","1409830","4595"
"2015-11","1024 x 66","40954822","4595"
"2015-11","1024 x 768","11231","4595"
"2015-11","104 x 30","1663","4595"
"2015-11","110 x 27","8429489","4595"
"2015-11","115 x 130","18919","4595"
"2015-11","120 x 30","9899","4595"
"2015-11","120 x 40","129799","4595"
"2015-11","120 x 60","19392249","4595"
"2015-11","120 x 90","286943","4595"
"2015-11","125 x 35","1","4595"
"2015-11","130 x 45","268302","4595"
"2015-11","135 x 20","2301083","4595"
"2015-11","135 x 50","124016","4595"
"2015-11","140 x 30","14350026","4595"
"2015-11","145 x 22","1910565","4595"
"2015-11","150 x 20","802887","4595"
"2015-11","150 x 22","702786","4595"
"2015-11","150 x 25","940082","4595"
"2015-11","150 x 30","780813","4595"
"2015-11","150 x 37","1645","4595"
"2015-11","150 x 40","1609256","4595"
"2015-11","150 x 42","518896","4595"
"2015-11","150 x 45","5722383","4595"
"2015-11","150 x 50","898618","4595"
"2015-11","160 x 150","8721734","4595"
"2015-11","160 x 160","66012","4595"
"2015-11","160 x 40","113021","4595"
"2015-11","160 x 600","43567131","4595"
"2015-11","165 x 45","617193","4595"
"2015-11","168 x 28","3","4595"
"2015-11","170 x 20","1161152","4595"
"2015-11","170 x 30","234414","4595"
"2015-11","170 x 40","388912","4595"
"2015-11","170 x 60","21109","4595"
"2015-11","180 x 150","39710837","4595"
"2015-11","180 x 20","831888","4595"
"2015-11","180 x 30","2530700","4595"
"2015-11","180 x 40","1035","4595"
"2015-11","180 x 52","224535","4595"
"2015-11","195 x 22","22","4595"
"2015-11","196 x 27","1114995","4595"
"2015-11","2 x 1","1294613","4595"
"2015-11","200 x 12","6937178","4595"
"2015-11","200 x 160","1486628","4595"
"2015-11","200 x 20","3717566","4595"
"2015-11","200 x 25","323876","4595"
"2015-11","200 x 30","389111","4595"
"2015-11","200 x 40","2896339","4595"
"2015-11","200 x 43","69443","4595"
"2015-11","200 x 45","375877","4595"
"2015-11","200 x 50","1576359","4595"
"2015-11","200 x 90","2177569","4595"
"2015-11","210 x 50","915","4595"
"2015-11","220 x 30","74762124","4595"
"2015-11","220 x 90","42998309","4595"
"2015-11","226 x 90","34248898","4595"
"2015-11","230 x 45","176776","4595"
"2015-11","230 x 80","37129408","4595"
"2015-11","230 x 90","5408777","4595"
"2015-11","234 x 60","13606937","4595"
"2015-11","235 x 15","28095648","4595"
"2015-11","235 x 16","2338796","4595"
"2015-11","235 x 90","13047435","4595"
"2015-11","240 x 50","56863","4595"
"2015-11","250 x 208","100493","4595"
"2015-11","260 x 53","832316","4595"
"2015-11","265 x 22","10584632","4595"
"2015-11","280 x 100","64469192","4595"
"2015-11","292 x 60","425849","4595"
"2015-11","296 x 37","576919","4595"
"2015-11","298 x 75","999107","4595"
"2015-11","3 x 3","181123899","4595"
"2015-11","3 x 4","75978","4595"
"2015-11","300 x 100","90966453","4595"
"2015-11","300 x 150","8891510","4595"
"2015-11","300 x 180","2189804","4595"
"2015-11","300 x 200","151","4595"
"2015-11","300 x 250","1472795865","4595"
"2015-11","300 x 30","165028","4595"
"2015-11","300 x 325","373221","4595"
"2015-11","300 x 35","490813","4595"
"2015-11","300 x 40","64824","4595"
"2015-11","300 x 50","9800128","4595"
"2015-11","300 x 54","102872","4595"
"2015-11","300 x 60","1346087","4595"
"2015-11","300 x 600","18367302","4595"
"2015-11","310 x 120","3148","4595"
"2015-11","320 x 160","5778186","4595"
"2015-11","320 x 25","315567","4595"
"2015-11","320 x 26","2775254","4595"
"2015-11","320 x 28","68103332","4595"
"2015-11","320 x 30","86072723","4595"
"2015-11","320 x 50","2265112181","4595"
"2015-11","320 x 66","90152436","4595"
"2015-11","350 x 50","988905","4595"
"2015-11","360 x 150","24096183","4595"
"2015-11","360 x 50","5061949","4595"
"2015-11","360 x 80","4302161","4595"
"2015-11","370 x 220","3222099","4595"
"2015-11","4 x 4","18","4595"
"2015-11","400 x 50","485583","4595"
"2015-11","468 x 60","981255","4595"
"2015-11","470 x 200","29","4595"
"2015-11","500 x 54","2885077","4595"
"2015-11","500 x 70","58412598","4595"
"2015-11","502 x 100","32821","4595"
"2015-11","535 x 40","32","4595"
"2015-11","600 x 60","810008","4595"
"2015-11","616 x 156","333120","4595"
"2015-11","620 x 140","2524804","4595"
"2015-11","636 x 409","1962622","4595"
"2015-11","636 x 60","645297","4595"
"2015-11","64 x 32","18359748","4595"
"2015-11","640 x 35","804182","4595"
"2015-11","640 x 360v","179014239","4595"
"2015-11","650 x 100","5444","4595"
"2015-11","650 x 137","3601079","4595"
"2015-11","650 x 60","727948","4595"
"2015-11","650 x 80","411619","4595"
"2015-11","700 x 150","13491","4595"
"2015-11","720 x 300","280003","4595"
"2015-11","728 x 90","567306273","4595"
"2015-11","75 x 23","1611","4595"
"2015-11","75 x 40","75761","4595"
"2015-11","758 x 100","68632","4595"
"2015-11","768 x 1024","6527","4595"
"2015-11","780 x 60","71227","4595"
"2015-11","880 x 60","327010","4595"
"2015-11","920 x 60","2514","4595"
"2015-11","940 x 700","92259","4595"
"2015-11","940 x 90","281448","4595"
"2015-11","943 x 523","3609017","4595"
"2015-11","960 x 100","274213","4595"
"2015-11","960 x 150","11860","4595"
"2015-11","960 x 50","3597571","4595"
"2015-11","960 x 60","8051791","4595"
"2015-11","960 x 700","195411","4595"
"2015-11","960 x 90","15","4595"
"2015-11","970 x 60","745350","4595"
"2015-11","970 x 700","1","4595"
"2015-11","970 x 90","34823630","4595"
"2015-11","980 x 40","31776","4595"
"2015-11","980 x 50","611362","4595"
"2015-11","980 x 60","531692","4595"
"2015-11","980 x 700","1825766","4595"
"2015-11","980 x 90","654492","4595"
"2015-11","981 x 700","35810","4595"
"2015-11","985 x 40","715","4595"
"2015-11","985 x 50","112471002","4595"
"2015-11","985 x 55","56563","4595"
"2015-11","985 x 60","26686773","4595"
"2015-11","991 x 700","22046","4595"
"2015-11","Out-of-page","32380948","4595"
"2015-12","1 x 1","330826164","4595"
"2015-12","1 x 3","25981772","4595"
"2015-12","1 x 4","1232370","4595"
"2015-12","1 x 5","304255","4595"
"2015-12","100 x 30","529365","4595"
"2015-12","1000 x 509","1356572","4595"
"2015-12","1000 x 700","1216756","4595"
"2015-12","1024 x 120","107","4595"
"2015-12","1024 x 66","25873678","4595"
"2015-12","1024 x 768","13399","4595"
"2015-12","104 x 30","1505","4595"
"2015-12","110 x 27","7636220","4595"
"2015-12","115 x 130","18894","4595"
"2015-12","120 x 30","8689","4595"
"2015-12","120 x 40","68787","4595"
"2015-12","120 x 60","17622327","4595"
"2015-12","120 x 90","306152","4595"
"2015-12","125 x 35","1","4595"
"2015-12","130 x 45","184474","4595"
"2015-12","135 x 20","2021109","4595"
"2015-12","135 x 50","106246","4595"
"2015-12","140 x 30","10374114","4595"
"2015-12","145 x 22","2155833","4595"
"2015-12","150 x 20","734294","4595"
"2015-12","150 x 22","787124","4595"
"2015-12","150 x 25","382957","4595"
"2015-12","150 x 30","795761","4595"
"2015-12","150 x 37","1499","4595"
"2015-12","150 x 40","1651151","4595"
"2015-12","150 x 42","653167","4595"
"2015-12","150 x 45","5979797","4595"
"2015-12","150 x 50","1130804","4595"
"2015-12","160 x 150","8530090","4595"
"2015-12","160 x 160","52308","4595"
"2015-12","160 x 40","165818","4595"
"2015-12","160 x 600","40523744","4595"
"2015-12","165 x 45","654334","4595"
"2015-12","170 x 20","1355398","4595"
"2015-12","170 x 30","170066","4595"
"2015-12","170 x 40","400990","4595"
"2015-12","170 x 60","8974","4595"
"2015-12","170 x 90","1","4595"
"2015-12","180 x 150","34594650","4595"
"2015-12","180 x 20","1018066","4595"
"2015-12","180 x 30","1733637","4595"
"2015-12","180 x 40","908","4595"
"2015-12","180 x 52","263409","4595"
"2015-12","195 x 22","16","4595"
"2015-12","196 x 27","1541281","4595"
"2015-12","2 x 1","1290046","4595"
"2015-12","200 x 12","8117270","4595"
"2015-12","200 x 160","1537579","4595"
"2015-12","200 x 20","3897017","4595"
"2015-12","200 x 25","366121","4595"
"2015-12","200 x 30","407111","4595"
"2015-12","200 x 40","3111531","4595"
"2015-12","200 x 43","101544","4595"
"2015-12","200 x 45","406769","4595"
"2015-12","200 x 50","1444517","4595"
"2015-12","200 x 90","1483910","4595"
"2015-12","210 x 50","1065","4595"
"2015-12","220 x 30","70992377","4595"
"2015-12","220 x 90","44356759","4595"
"2015-12","226 x 90","29242642","4595"
"2015-12","230 x 45","163978","4595"
"2015-12","230 x 80","135739655","4595"
"2015-12","230 x 90","5358856","4595"
"2015-12","234 x 60","13019855","4595"
"2015-12","235 x 15","24626514","4595"
"2015-12","235 x 16","1664319","4595"
"2015-12","235 x 90","11032979","4595"
"2015-12","240 x 50","39386","4595"
"2015-12","250 x 208","87522","4595"
"2015-12","260 x 53","638152","4595"
"2015-12","265 x 22","9664604","4595"
"2015-12","280 x 100","56560056","4595"
"2015-12","292 x 60","332648","4595"
"2015-12","296 x 37","488465","4595"
"2015-12","298 x 75","934266","4595"
"2015-12","3 x 3","169031361","4595"
"2015-12","3 x 4","28175","4595"
"2015-12","300 x 100","124295739","4595"
"2015-12","300 x 150","4956086","4595"
"2015-12","300 x 180","1435275","4595"
"2015-12","300 x 200","187","4595"
"2015-12","300 x 250","1396500585","4595"
"2015-12","300 x 30","105025","4595"
"2015-12","300 x 325","283395","4595"
"2015-12","300 x 35","74922","4595"
"2015-12","300 x 40","41414","4595"
"2015-12","300 x 50","8037293","4595"
"2015-12","300 x 54","132178","4595"
"2015-12","300 x 60","1724084","4595"
"2015-12","300 x 600","19739210","4595"
"2015-12","310 x 120","3767","4595"
"2015-12","320 x 160","7700023","4595"
"2015-12","320 x 25","262219","4595"
"2015-12","320 x 26","2532002","4595"
"2015-12","320 x 28","46579918","4595"
"2015-12","320 x 30","66000922","4595"
"2015-12","320 x 50","1829585266","4595"
"2015-12","320 x 66","62641747","4595"
"2015-12","350 x 50","969297","4595"
"2015-12","360 x 150","21808603","4595"
"2015-12","360 x 50","5329107","4595"
"2015-12","360 x 80","2962580","4595"
"2015-12","370 x 220","2303730","4595"
"2015-12","400 x 50","620222","4595"
"2015-12","468 x 60","934565","4595"
"2015-12","470 x 200","42","4595"
"2015-12","500 x 54","2193461","4595"
"2015-12","500 x 70","44825263","4595"
"2015-12","502 x 100","35834","4595"
"2015-12","535 x 40","13","4595"
"2015-12","600 x 60","857865","4595"
"2015-12","616 x 156","340198","4595"
"2015-12","620 x 140","2754384","4595"
"2015-12","636 x 409","1231145","4595"
"2015-12","636 x 60","515422","4595"
"2015-12","64 x 32","12871042","4595"
"2015-12","640 x 35","832299","4595"
"2015-12","640 x 360v","192732928","4595"
"2015-12","650 x 100","4196","4595"
"2015-12","650 x 137","2573285","4595"
"2015-12","650 x 60","531518","4595"
"2015-12","650 x 80","309162","4595"
"2015-12","700 x 150","15444","4595"
"2015-12","720 x 300","232085","4595"
"2015-12","728 x 90","593963274","4595"
"2015-12","75 x 23","1465","4595"
"2015-12","75 x 40","98301","4595"
"2015-12","758 x 100","78967","4595"
"2015-12","768 x 1024","7627","4595"
"2015-12","780 x 60","66702","4595"
"2015-12","880 x 60","277282","4595"
"2015-12","920 x 60","2241","4595"
"2015-12","940 x 700","90301","4595"
"2015-12","940 x 90","255503","4595"
"2015-12","943 x 523","4974121","4595"
"2015-12","960 x 100","86449","4595"
"2015-12","960 x 150","23018","4595"
"2015-12","960 x 50","2983371","4595"
"2015-12","960 x 60","6406598","4595"
"2015-12","960 x 700","149835","4595"
"2015-12","960 x 90","36915","4595"
"2015-12","970 x 60","763884","4595"
"2015-12","970 x 700","1","4595"
"2015-12","970 x 90","39341872","4595"
"2015-12","980 x 40","33146","4595"
"2015-12","980 x 50","449549","4595"
"2015-12","980 x 60","401598","4595"
"2015-12","980 x 700","1613461","4595"
"2015-12","980 x 90","682363","4595"
"2015-12","981 x 700","26729","4595"
"2015-12","985 x 40","576","4595"
"2015-12","985 x 50","75315424","4595"
"2015-12","985 x 55","35086","4595"
"2015-12","985 x 60","19804442","4595"
"2015-12","991 x 700","30276","4595"
"2015-12","Out-of-page","37558268","4595"
"2016-01","1 x 1","166185495","4595"
"2016-01","1 x 3","19929208","4595"
"2016-01","1 x 4","1516293","4595"
"2016-01","1 x 5","376580","4595"
"2016-01","1 x 6","2387","4595"
"2016-01","100 x 30","470749","4595"
"2016-01","1000 x 509","299441","4595"
"2016-01","1000 x 700","843375","4595"
"2016-01","1024 x 120","152","4595"
"2016-01","1024 x 66","1020953","4595"
"2016-01","1024 x 768","10842","4595"
"2016-01","104 x 30","908","4595"
"2016-01","110 x 27","7460055","4595"
"2016-01","115 x 130","18249","4595"
"2016-01","120 x 30","4939","4595"
"2016-01","120 x 40","260873","4595"
"2016-01","120 x 60","13940595","4595"
"2016-01","120 x 90","241734","4595"
"2016-01","125 x 35","4","4595"
"2016-01","130 x 45","149824","4595"
"2016-01","135 x 20","1813151","4595"
"2016-01","135 x 50","80982","4595"
"2016-01","140 x 30","9137867","4595"
"2016-01","145 x 22","1798415","4595"
"2016-01","150 x 20","1085165","4595"
"2016-01","150 x 22","656566","4595"
"2016-01","150 x 25","1093345","4595"
"2016-01","150 x 30","707941","4595"
"2016-01","150 x 37","904","4595"
"2016-01","150 x 40","735908","4595"
"2016-01","150 x 42","556372","4595"
"2016-01","150 x 45","6350180","4595"
"2016-01","150 x 50","1287540","4595"
"2016-01","160 x 150","8035868","4595"
"2016-01","160 x 160","29967","4595"
"2016-01","160 x 600","30983409","4595"
"2016-01","165 x 45","607220","4595"
"2016-01","168 x 28","3","4595"
"2016-01","170 x 20","713966","4595"
"2016-01","170 x 30","179292","4595"
"2016-01","170 x 40","363023","4595"
"2016-01","170 x 60","2772","4595"
"2016-01","180 x 150","32539596","4595"
"2016-01","180 x 20","1038546","4595"
"2016-01","180 x 30","1452872","4595"
"2016-01","180 x 40","5700","4595"
"2016-01","180 x 52","216624","4595"
"2016-01","195 x 22","24","4595"
"2016-01","196 x 15","1","4595"
"2016-01","196 x 27","1572996","4595"
"2016-01","2 x 1","24442","4595"
"2016-01","200 x 12","6961465","4595"
"2016-01","200 x 160","1850361","4595"
"2016-01","200 x 20","4833302","4595"
"2016-01","200 x 25","192053","4595"
"2016-01","200 x 30","451229","4595"
"2016-01","200 x 40","2875007","4595"
"2016-01","200 x 43","39","4595"
"2016-01","200 x 45","229819","4595"
"2016-01","200 x 50","1907118","4595"
"2016-01","200 x 90","1955104","4595"
"2016-01","210 x 50","688","4595"
"2016-01","220 x 30","27777535","4595"
"2016-01","220 x 90","41643430","4595"
"2016-01","226 x 90","29750787","4595"
"2016-01","230 x 45","88214","4595"
"2016-01","230 x 80","68327077","4595"
"2016-01","230 x 90","5057075","4595"
"2016-01","234 x 60","9114292","4595"
"2016-01","235 x 15","24216721","4595"
"2016-01","235 x 16","1181834","4595"
"2016-01","235 x 90","10301727","4595"
"2016-01","240 x 50","12268","4595"
"2016-01","250 x 208","73675","4595"
"2016-01","260 x 53","491796","4595"
"2016-01","265 x 22","10148928","4595"
"2016-01","277 x 190","1","4595"
"2016-01","280 x 100","59851712","4595"
"2016-01","292 x 60","363670","4595"
"2016-01","296 x 37","316309","4595"
"2016-01","298 x 75","893068","4595"
"2016-01","3 x 3","152285841","4595"
"2016-01","3 x 4","149292","4595"
"2016-01","3 x 5","18","4595"
"2016-01","300 x 100","89904782","4595"
"2016-01","300 x 1050","3","4595"
"2016-01","300 x 150","5637493","4595"
"2016-01","300 x 180","1217469","4595"
"2016-01","300 x 200","67","4595"
"2016-01","300 x 250","929032471","4595"
"2016-01","300 x 30","45476","4595"
"2016-01","300 x 325","335121","4595"
"2016-01","300 x 35","27120","4595"
"2016-01","300 x 40","14859","4595"
"2016-01","300 x 50","8128842","4595"
"2016-01","300 x 600","14509132","4595"
"2016-01","310 x 120","6554","4595"
"2016-01","320 x 160","4303763","4595"
"2016-01","320 x 25","243757","4595"
"2016-01","320 x 26","1371672","4595"
"2016-01","320 x 28","21917067","4595"
"2016-01","320 x 30","21097984","4595"
"2016-01","320 x 50","1053807948","4595"
"2016-01","350 x 50","196799","4595"
"2016-01","360 x 150","22473563","4595"
"2016-01","360 x 50","1892532","4595"
"2016-01","370 x 220","2053750","4595"
"2016-01","375 x 50","10","4595"
"2016-01","4 x 4","1","4595"
"2016-01","400 x 50","351258","4595"
"2016-01","468 x 60","900071","4595"
"2016-01","470 x 200","24","4595"
"2016-01","500 x 70","8820","4595"
"2016-01","502 x 100","29044","4595"
"2016-01","535 x 40","32","4595"
"2016-01","600 x 60","985529","4595"
"2016-01","616 x 156","446829","4595"
"2016-01","620 x 140","2086920","4595"
"2016-01","636 x 409","639459","4595"
"2016-01","636 x 60","474811","4595"
"2016-01","64 x 32","10257704","4595"
"2016-01","640 x 35","1031398","4595"
"2016-01","640 x 360v","155849132","4595"
"2016-01","650 x 100","3276","4595"
"2016-01","650 x 137","2320614","4595"
"2016-01","650 x 60","436344","4595"
"2016-01","650 x 80","298743","4595"
"2016-01","700 x 150","14368","4595"
"2016-01","720 x 300","211906","4595"
"2016-01","728 x 90","470265620","4595"
"2016-01","75 x 23","885","4595"
"2016-01","75 x 40","18773","4595"
"2016-01","758 x 100","64549","4595"
"2016-01","768 x 1024","5956","4595"
"2016-01","780 x 60","52368","4595"
"2016-01","880 x 60","242395","4595"
"2016-01","920 x 60","1426","4595"
"2016-01","940 x 700","48173","4595"
"2016-01","940 x 90","196068","4595"
"2016-01","943 x 523","7748983","4595"
"2016-01","960 x 100","97365","4595"
"2016-01","960 x 150","15034","4595"
"2016-01","960 x 50","2869358","4595"
"2016-01","960 x 60","5470835","4595"
"2016-01","960 x 700","28795","4595"
"2016-01","970 x 60","912214","4595"
"2016-01","970 x 700","1","4595"
"2016-01","970 x 90","33866872","4595"
"2016-01","980 x 40","47810","4595"
"2016-01","980 x 50","813927","4595"
"2016-01","980 x 60","214674","4595"
"2016-01","980 x 700","1340949","4595"
"2016-01","980 x 90","426332","4595"
"2016-01","981 x 700","29273","4595"
"2016-01","985 x 40","16","4595"
"2016-01","985 x 50","23029958","4595"
"2016-01","985 x 55","24585348","4595"
"2016-01","985 x 60","487130","4595"
"2016-01","991 x 700","32098","4595"
"2016-01","Out-of-page","22761127","4595"
"2016-02","1 x 1","47903493","4595"
"2016-02","1 x 3","5129427","4595"
"2016-02","1 x 4","866463","4595"
"2016-02","1 x 5","11881","4595"
"2016-02","100 x 30","248614","4595"
"2016-02","1000 x 509","37505","4595"
"2016-02","1000 x 700","171520","4595"
"2016-02","1024 x 66","88191","4595"
"2016-02","1024 x 768","7980","4595"
"2016-02","104 x 30","737","4595"
"2016-02","110 x 27","2321619","4595"
"2016-02","115 x 130","11078","4595"
"2016-02","120 x 30","4058","4595"
"2016-02","120 x 40","12407","4595"
"2016-02","120 x 60","4033621","4595"
"2016-02","120 x 90","74012","4595"
"2016-02","130 x 45","78187","4595"
"2016-02","135 x 20","952949","4595"
"2016-02","135 x 50","31231","4595"
"2016-02","140 x 30","6039710","4595"
"2016-02","145 x 22","1055238","4595"
"2016-02","150 x 20","1272721","4595"
