"Dimension.MONTH_AND_YEAR","Dimension.CREATIVE_SIZE","Column.TOTAL_INVENTORY_LEVEL_IMPRESSIONS","1006611"
"2016-03","728 x 90","19008498","1006611"
"2016-03","970 x 250","4443308","1006611"
"2016-03","970 x 90","820895","1006611"
"2016-03","980 x 30","6152980","1006611"
"2016-03","Out-of-page","274913","1006611"
"2016-04","1 x 1","13772","1006611"
"2016-04","1030 x 50","54102","1006611"
"2016-04","250 x 100","3849229","1006611"
"2016-04","300 x 250","34684925","1006611"
"2016-04","300 x 251","247410","1006611"
"2016-04","300 x 600","9115591","1006611"
"2016-04","320 x 50","933125","1006611"
"2016-04","400 x 300","4093716","1006611"
"2016-04","560 x 200","11313341","1006611"
"2016-04","620 x 90","967918","1006611"
"2016-04","728 x 90","15948058","1006611"
"2016-04","970 x 250","4822339","1006611"
"2016-04","970 x 90","859690","1006611"
"2016-04","980 x 30","4911677","1006611"
"2016-04","Out-of-page","73660","1006611"
"2016-05","1 x 1","50910","1006611"
"2016-05","1030 x 50","112078","1006611"
"2016-05","150 x 40","65859","1006611"
"2016-05","250 x 100","3523220","1006611"
"2016-05","300 x 250","29988235","1006611"
"2016-05","300 x 251","803589","1006611"
"2016-05","300 x 600","10254190","1006611"
"2016-05","320 x 50","1952722","1006611"
"2016-05","400 x 300","3841900","1006611"
"2016-05","560 x 200","9990544","1006611"
"2016-05","620 x 90","3662621","1006611"
"2016-05","728 x 90","13938414","1006611"
"2016-05","970 x 250","7389694","1006611"
"2016-05","970 x 90","794748","1006611"
"2016-05","980 x 30","4512236","1006611"
"2016-05","Out-of-page","131223","1006611"
"Dimension.MONTH_AND_YEAR","Dimension.CREATIVE_SIZE","Column.TOTAL_INVENTORY_LEVEL_IMPRESSIONS","1013633"
"Dimension.MONTH_AND_YEAR","Dimension.CREATIVE_SIZE","Column.TOTAL_INVENTORY_LEVEL_IMPRESSIONS","1053034"
"2015-06","0 x 0","583172","1053034"
"2015-06","234 x 60","571","1053034"
"2015-06","250 x 250","16670879","1053034"
"2015-06","300 x 250","49359001","1053034"
"2015-06","300 x 307","1614","1053034"
"2015-06","300 x 600","4771782","1053034"
"2015-06","320 x 50","26985","1053034"
"2015-06","728 x 90","11267851","1053034"
"2015-06","940 x 90","1945","1053034"
"2015-07","0 x 0","234593","1053034"
"2015-07","234 x 60","376","1053034"
"2015-07","250 x 250","12207422","1053034"
"2015-07","300 x 250","59533409","1053034"
"2015-07","300 x 307","1828","1053034"
"2015-07","300 x 600","6468424","1053034"
"2015-07","320 x 50","606964","1053034"
"2015-07","728 x 90","13752936","1053034"
"2015-07","940 x 90","2249","1053034"
"2015-08","0 x 0","50942","1053034"
"2015-08","234 x 60","909","1053034"
"2015-08","250 x 250","1422","1053034"
"2015-08","300 x 250","62032732","1053034"
"2015-08","300 x 307","1993","1053034"
"2015-08","300 x 600","7250023","1053034"
"2015-08","320 x 50","1977122","1053034"
"2015-08","728 x 90","13865844","1053034"
"2015-08","940 x 90","2585","1053034"
"2015-09","0 x 0","24471","1053034"
"2015-09","160 x 600","2","1053034"
"2015-09","234 x 60","2562","1053034"
"2015-09","250 x 250","69","1053034"
"2015-09","300 x 250","48665031","1053034"
"2015-09","300 x 307","2517","1053034"
"2015-09","300 x 600","5966088","1053034"
"2015-09","320 x 50","2983936","1053034"
"2015-09","728 x 90","13073343","1053034"
"2015-09","940 x 90","3371","1053034"
"2015-10","0 x 0","836120","1053034"
"2015-10","160 x 600","1","1053034"
"2015-10","234 x 60","503669","1053034"
"2015-10","250 x 250","27","1053034"
"2015-10","300 x 250","52549377","1053034"
"2015-10","300 x 307","5531","1053034"
"2015-10","300 x 600","7150210","1053034"
"2015-10","320 x 50","3340356","1053034"
"2015-10","728 x 90","15793311","1053034"
"2015-10","940 x 90","7662","1053034"
"2015-10","Native","37","1053034"
"2015-11","0 x 0","14995983","1053034"
"2015-11","234 x 60","8876487","1053034"
"2015-11","250 x 250","5","1053034"
"2015-11","300 x 125","3549661","1053034"
"2015-11","300 x 250","79408920","1053034"
"2015-11","300 x 307","384386","1053034"
"2015-11","300 x 600","3289622","1053034"
"2015-11","320 x 50","7354678","1053034"
"2015-11","728 x 90","51392332","1053034"
"2015-11","940 x 90","409758","1053034"
"2015-11","Native","475","1053034"
"2015-12","0 x 0","5865593","1053034"
"2015-12","234 x 60","12752","1053034"
"2015-12","300 x 250","71952234","1053034"
"2015-12","300 x 307","21649","1053034"
"2015-12","300 x 600","226","1053034"
"2015-12","320 x 50","6243678","1053034"
"2015-12","728 x 90","25145014","1053034"
"2015-12","940 x 90","23154","1053034"
"2015-12","Native","4976757","1053034"
"2016-01","0 x 0","4911278","1053034"
"2016-01","234 x 60","13","1053034"
"2016-01","300 x 250","80115996","1053034"
"2016-01","300 x 307","1629","1053034"
"2016-01","300 x 600","1788","1053034"
"2016-01","320 x 50","4490502","1053034"
"2016-01","728 x 90","20389847","1053034"
"2016-01","Native","5673354","1053034"
"2016-02","0 x 0","1426897","1053034"
"2016-02","234 x 60","1","1053034"
"2016-02","300 x 250","61591219","1053034"
"2016-02","300 x 600","1346469","1053034"
"2016-02","320 x 50","3838184","1053034"
"2016-02","728 x 90","10563476","1053034"
"2016-02","Native","3574172","1053034"
"2016-03","0 x 0","11870422","1053034"
"2016-03","234 x 60","3","1053034"
"2016-03","300 x 250","55132126","1053034"
"2016-03","300 x 600","434374","1053034"
"2016-03","320 x 50","3564201","1053034"
"2016-03","728 x 90","10924222","1053034"
"2016-03","Native","6810148","1053034"
"2016-04","0 x 0","9241631","1053034"
"2016-04","300 x 250","48472005","1053034"
"2016-04","300 x 600","10","1053034"
"2016-04","320 x 50","3313795","1053034"
"2016-04","728 x 90","9001548","1053034"
"2016-04","Native","22015764","1053034"
"2016-05","0 x 0","1814217","1053034"
"2016-05","234 x 60","4","1053034"
"2016-05","300 x 250","46894404","1053034"
"2016-05","300 x 600","2","1053034"
"2016-05","320 x 50","3343961","1053034"
"2016-05","728 x 90","8762803","1053034"
"2016-05","Native","28343992","1053034"
"Dimension.MONTH_AND_YEAR","Dimension.CREATIVE_SIZE","Column.TOTAL_INVENTORY_LEVEL_IMPRESSIONS","1066735"
"2015-06","0 x 0","426588","1066735"
"2015-06","300 x 250","390167","1066735"
"2015-06","300 x 600","60215","1066735"
"2015-06","320 x 250","49","1066735"
"2015-06","320 x 50","591926","1066735"
"2015-06","970 x 200","122306","1066735"
"2015-07","0 x 0","921621","1066735"
"2015-07","1200 x 150","361886","1066735"
"2015-07","160 x 600","1","1066735"
"2015-07","300 x 250","1902467","1066735"
"2015-07","300 x 600","193848","1066735"
"2015-07","320 x 250","1","1066735"
"2015-07","320 x 50","1316890","1066735"
"2015-07","728 x 90","264055","1066735"
"2015-07","970 x 200","77489","1066735"
"2015-08","0 x 0","1113976","1066735"
"2015-08","1200 x 150","189762","1066735"
"2015-08","160 x 600","270548","1066735"
"2015-08","300 x 250","2518206","1066735"
"2015-08","300 x 50","17","1066735"
"2015-08","300 x 600","122312","1066735"
"2015-08","320 x 50","1791761","1066735"
"2015-08","728 x 90","819570","1066735"
"2015-08","970 x 200","96351","1066735"
"2015-09","0 x 0","781331","1066735"
"2015-09","1200 x 150","122706","1066735"
"2015-09","160 x 600","856249","1066735"
"2015-09","1920 x 1080v","9","1066735"
"2015-09","300 x 250","3083423","1066735"
"2015-09","300 x 50","99","1066735"
"2015-09","300 x 600","180488","1066735"
"2015-09","320 x 50","1499477","1066735"
"2015-09","728 x 90","187201","1066735"
"2015-09","970 x 200","245348","1066735"
"2015-10","0 x 0","560755","1066735"
"2015-10","1200 x 150","344017","1066735"
"2015-10","300 x 250","1463297","1066735"
"2015-10","300 x 50","238","1066735"
"2015-10","300 x 600","182653","1066735"
"2015-10","320 x 50","1255913","1066735"
"2015-10","728 x 90","102904","1066735"
"2015-11","0 x 0","651935","1066735"
"2015-11","1200 x 150","61227","1066735"
"2015-11","250 x 660","1203","1066735"
"2015-11","300 x 250","1845083","1066735"
"2015-11","300 x 50","377","1066735"
"2015-11","300 x 600","149263","1066735"
"2015-11","320 x 50","1416783","1066735"
"2015-11","728 x 90","374978","1066735"
"2015-12","0 x 0","848913","1066735"
"2015-12","300 x 250","1489419","1066735"
"2015-12","300 x 600","129606","1066735"
"2015-12","320 x 50","1329672","1066735"
"2015-12","728 x 90","258439","1066735"
"2015-12","970 x 150","62285","1066735"
"2015-12","970 x 200","37151","1066735"
"2016-01","0 x 0","1405744","1066735"
"2016-01","300 x 250","1453983","1066735"
"2016-01","300 x 600","131583","1066735"
"2016-01","320 x 50","1211634","1066735"
"2016-01","970 x 150","59248","1066735"
"2016-01","970 x 200","282726","1066735"
"2016-02","0 x 0","1122667","1066735"
"2016-02","300 x 250","2328661","1066735"
"2016-02","300 x 50","27","1066735"
"2016-02","300 x 600","149698","1066735"
"2016-02","320 x 50","2045883","1066735"
"2016-02","728 x 90","1151","1066735"
"2016-02","970 x 200","413926","1066735"
"2016-03","0 x 0","984776","1066735"
"2016-03","300 x 250","2225992","1066735"
"2016-03","300 x 50","28","1066735"
"2016-03","300 x 600","183593","1066735"
"2016-03","320 x 50","1994919","1066735"
"2016-03","728 x 90","1984","1066735"
"2016-03","970 x 200","444472","1066735"
"2016-04","0 x 0","1038350","1066735"
"2016-04","300 x 250","1953135","1066735"
"2016-04","300 x 50","242","1066735"
"2016-04","300 x 600","200304","1066735"
"2016-04","320 x 50","2386859","1066735"
"2016-04","728 x 90","488","1066735"
"2016-04","970 x 200","389475","1066735"
"2016-05","0 x 0","910764","1066735"
"2016-05","300 x 250","2118705","1066735"
"2016-05","300 x 50","17","1066735"
"2016-05","300 x 600","205854","1066735"
"2016-05","320 x 50","2632073","1066735"
"2016-05","728 x 90","723","1066735"
"2016-05","970 x 200","355661","1066735"
"Dimension.MONTH_AND_YEAR","Dimension.CREATIVE_SIZE","Column.TOTAL_INVENTORY_LEVEL_IMPRESSIONS","108939068"
"2015-06","160 x 600","13031750","108939068"
"2015-06","300 x 1050","647979","108939068"
"2015-06","300 x 250","54005461","108939068"
"2015-06","300 x 50","496583","108939068"
"2015-06","300 x 600","17419247","108939068"
"2015-06","320 x 50","19972090","108939068"
"2015-06","640 x 360v","199328","108939068"
"2015-06","728 x 90","53102199","108939068"
"2015-06","970 x 250","1159285","108939068"
"2015-06","970 x 66","628584","108939068"
"2015-06","970 x 70","6","108939068"
"2015-06","Out-of-page","570329","108939068"
"2015-07","1 x 1","14","108939068"
"2015-07","160 x 600","5533280","108939068"
"2015-07","300 x 1050","440242","108939068"
"2015-07","300 x 250","62608686","108939068"
"2015-07","300 x 50","572428","108939068"
"2015-07","300 x 600","23483141","108939068"
"2015-07","320 x 50","22746177","108939068"
"2015-07","640 x 360v","186353","108939068"
"2015-07","728 x 90","50276880","108939068"
"2015-07","970 x 250","980913","108939068"
"2015-07","970 x 66","433776","108939068"
"2015-07","Out-of-page","1727808","108939068"
"2015-08","1 x 1","5","108939068"
"2015-08","160 x 600","8895778","108939068"
"2015-08","300 x 1050","110614","108939068"
"2015-08","300 x 250","97237185","108939068"
"2015-08","300 x 50","583560","108939068"
"2015-08","300 x 600","27242767","108939068"
"2015-08","320 x 50","49571884","108939068"
"2015-08","640 x 360v","244885","108939068"
"2015-08","728 x 90","58426389","108939068"
"2015-08","970 x 250","648982","108939068"
"2015-08","970 x 66","141310","108939068"
"2015-08","Out-of-page","625302","108939068"
"2015-09","1 x 1","20","108939068"
"2015-09","160 x 600","14491574","108939068"
