network,creative id,new name
8788,91505479594,Rubicon | Crain_Cleveland Business | Cleveland Business | Null | Mobile_Web | 728x90
8788,91505497594,Rubicon | Crain_Cleveland Business | Cleveland Business | Null | Mobile_Web | 320x50
8788,91505390314,Rubicon | Crain_Cleveland Business | Cleveland Business | Null | Mobile_Web | 320x50
8788,91505391394,Rubicon | Crain_Cleveland Business | Cleveland Business | Null | Mobile_Web | 728x90
8788,91505380234,Rubicon | Crain_Cleveland Business | Cleveland Business | Null | Mobile_Web | 320x50
8788,91505380834,Rubicon | Crain_Cleveland Business | Cleveland Business | Null | Mobile_Web | 728x90
8788,85649229634,Rubicon | Crain_Cleveland Business | Cleveland Business | Null | Mobile_Web | 728x90
8788,85650672874,Rubicon | Crain_Cleveland Business | Cleveland Business | Null | Mobile_Web | 320x50
8788,91504002994,Rubicon | Crain_Cleveland Business | Cleveland Business | Null | Desktop | 728x90
8788,91504000834,Rubicon | Crain_Cleveland Business | Cleveland Business | Null | Desktop | 728x90
8788,87213656554,Rubicon | Crain_Cleveland Business | Cleveland Business | Null | Desktop | 300x250
8788,91503955114,Rubicon | Crain_Cleveland Business | Cleveland Business | Null | Desktop | 728x90
8788,85645599034,Rubicon | Crain_Cleveland Business | Cleveland Business | Null | Desktop | 300x250
8788,85645995274,Rubicon | Crain_Cleveland Business | Cleveland Business | Null | Desktop | 300x600
8788,85647794194,Rubicon | Crain_Cleveland Business | Cleveland Business | Null | Desktop | 728x90
8788,73682274634,AdX | Crain_National | Crains Washington DC | Null | Mobile_Web | 300x50
8788,73682280034,AdX | Crain_National | Crains Washington DC | Null | Desktop | 300x600
8788,73682270794,AdX | Crain_National | Crains Washington DC | Null | Desktop | 300x250
8788,84941391874,AdX | Crain_National | Crains Tampa Bay | Null | Mobile_Web | 300x50
8788,84940469914,AdX | Crain_National | Crains Tampa Bay | Null | Desktop | 300x600
8788,84938619394,AdX | Crain_National | Crains Tampa Bay | Null | Desktop | 300x250
8788,73682165074,AdX | Crain_National | Crains Silicon Valley | Null | Mobile_Web | 300x50
8788,73682257474,AdX | Crain_National | Crains Silicon Valley | Null | Desktop | 300x600
8788,73682155474,AdX | Crain_National | Crains Silicon Valley | Null | Desktop | 300x250
8788,84938612554,AdX | Crain_National | Crains Seattle | Null | Mobile_Web | 300x50
8788,84935464114,AdX | Crain_National | Crains Seattle | Null | Desktop | 300x600
8788,84933289234,AdX | Crain_National | Crains Seattle | Null | Desktop | 300x250
8788,73682153674,AdX | Crain_National | Crains San Francisco | Null | Mobile_Web | 300x50
8788,73682154874,AdX | Crain_National | Crains San Francisco | Null | Desktop | 300x600
8788,73682148634,AdX | Crain_National | Crains San Francisco | Null | Desktop | 300x250
8788,84931625794,AdX | Crain_National | Crains San Diego | Null | Mobile_Web | 300x50
8788,84930894754,AdX | Crain_National | Crains San Diego | Null | Desktop | 300x600
8788,84908307394,AdX | Crain_National | Crains San Diego | Null | Desktop | 300x250
8788,93502589674,AdX | Crain_National | Crains San Antonio | Null | Desktop | 300x600
8788,93502444594,AdX | Crain_National | Crains San Antonio | Null | Desktop | 300x250
8788,93502620754,AdX | Crain_National | Crains San Antonio  | Null | Mobile_Web | 300x50
8788,86854788634,AdX | Crain_National | Crains Salt Lake City | Null | Mobile_Web | 300x50
8788,86854574434,AdX | Crain_National | Crains Salt Lake City | Null | Desktop | 300x600
8788,86853679594,AdX | Crain_National | Crains Salt Lake City | Null | Desktop | 300x250
8788,84992210674,AdX | Crain_National | Crains Sacramento | Null | Mobile_Web | 300x50
8788,84991909354,AdX | Crain_National | Crains Sacramento | Null | Desktop | 300x600
8788,84991907794,AdX | Crain_National | Crains Sacramento | Null | Desktop | 300x250
8788,84991906714,AdX | Crain_National | Crains Portland | Null | Mobile_Web | 300x50
8788,84991906354,AdX | Crain_National | Crains Portland | Null | Desktop | 300x600
8788,84991601434,AdX | Crain_National | Crains Portland | Null | Desktop | 300x250
8788,87214965634,AdX | Crain_National | Crains Pittsburgh | Null | Mobile_Web | 300x50
8788,87214964914,AdX | Crain_National | Crains Pittsburgh | Null | Desktop | 300x600
8788,87214962754,AdX | Crain_National | Crains Pittsburgh | Null | Desktop | 300x250
8788,84908282554,AdX | Crain_National | Crains Phoenix | Null | Mobile_Web | 300x50
8788,84908261674,AdX | Crain_National | Crains Phoenix | Null | Desktop | 300x600
8788,84908211034,AdX | Crain_National | Crains Phoenix | Null | Desktop | 300x250
8788,73682058154,AdX | Crain_National | Crains Philadelphia | Null | Mobile_Web | 300x50
8788,73682078314,AdX | Crain_National | Crains Philadelphia | Null | Desktop | 300x600
8788,73682028394,AdX | Crain_National | Crains Philadelphia | Null | Desktop | 300x250
8788,84992229514,AdX | Crain_National | Crains Orlando | Null | Mobile_Web | 300x50
8788,84992220994,AdX | Crain_National | Crains Orlando | Null | Desktop | 300x600
8788,84992217994,AdX | Crain_National | Crains Orlando | Null | Desktop | 300x250
8788,93508960714,AdX | Crain_National | Crains Nashville | Null | Mobile_Web | 300x50
8788,93508815394,AdX | Crain_National | Crains Nashville | Null | Desktop | 300x600
8788,93506603434,AdX | Crain_National | Crains Nashville | Null | Desktop | 300x250
8788,84908035474,AdX | Crain_National | Crains Minneapolis | Null | Mobile_Web | 300x50
8788,84891122194,AdX | Crain_National | Crains Minneapolis | Null | Desktop | 300x600
8788,84888132994,AdX | Crain_National | Crains Minneapolis | Null | Desktop | 300x250
8788,84887501554,AdX | Crain_National | Crains Miami | Null | Mobile_Web | 300x50
8788,84887231914,AdX | Crain_National | Crains Miami | Null | Desktop | 300x600
8788,84886983274,AdX | Crain_National | Crains Miami | Null | Desktop | 300x250
8788,73681929274,AdX | Crain_National | Crains Los Angeles | Null | Mobile_Web | 300x50
8788,73681935634,AdX | Crain_National | Crains Los Angeles | Null | Desktop | 300x600
8788,73681921834,AdX | Crain_National | Crains Los Angeles | Null | Desktop | 300x250
8788,87059735194,AdX | Crain_National | Crains Las Vegas | Null | Mobile_Web | 300x50
8788,87059724034,AdX | Crain_National | Crains Las Vegas | Null | Desktop | 300x600
8788,87059721514,AdX | Crain_National | Crains Las Vegas | Null | Desktop | 300x250
8788,93493537834,AdX | Crain_National | Crains Indianapolis | Null | Mobile_Web | 300x50
8788,93492934834,AdX | Crain_National | Crains Indianapolis | Null | Desktop | 300x600
8788,93492847234,AdX | Crain_National | Crains Indianapolis | Null | Desktop | 300x250
8788,73681891474,AdX | Crain_National | Crains Houston | Null | Mobile_Web | 300x50
8788,73681918474,AdX | Crain_National | Crains Houston | Null | Desktop | 300x600
8788,73681809874,AdX | Crain_National | Crains Houston | Null | Desktop | 300x250
8788,86853639394,AdX | Crain_National | Crains Denver | Null | Mobile_Web | 300x50
8788,86853519274,AdX | Crain_National | Crains Denver | Null | Desktop | 300x600
8788,86853513394,AdX | Crain_National | Crains Denver | Null | Desktop | 300x250
8788,73681784314,AdX | Crain_National | Crains Dallas | Null | Mobile_Web | 300x50
8788,73681807114,AdX | Crain_National | Crains Dallas | Null | Desktop | 300x600
8788,73681779874,AdX | Crain_National | Crains Dallas | Null | Desktop | 300x250
8788,93509037754,AdX | Crain_National | Crains Connecticut | Null | Mobile_Web | 300x50
8788,93509014474,AdX | Crain_National | Crains Connecticut | Null | Desktop | 300x600
8788,93508992394,AdX | Crain_National | Crains Connecticut | Null | Desktop | 300x250
8788,93500433034,AdX | Crain_National | Crains Charlotte | Null | Mobile_Web | 300x50
8788,93499189834,AdX | Crain_National | Crains Charlotte | Null | Desktop | 300x600
8788,93498799714,AdX | Crain_National | Crains Charlotte | Null | Desktop | 300x250
8788,73681768594,AdX | Crain_National | Crains Boston | Null | Mobile_Web | 300x50
8788,73681775554,AdX | Crain_National | Crains Boston | Null | Desktop | 300x600
8788,73486811554,AdX | Crain_National | Crains Boston | Null | Desktop | 300x250
8788,93503827834,AdX | Crain_National | Crains Baltimore | Null | Mobile_Web | 300x50
8788,93503820274,AdX | Crain_National | Crains Baltimore | Null | Desktop | 300x600
8788,93503703034,AdX | Crain_National | Crains Baltimore | Null | Desktop | 300x250
8788,93503560594,AdX | Crain_National | Crains Austin | Null | Mobile_Web | 300x50
8788,93503513794,AdX | Crain_National | Crains Austin | Null | Desktop | 300x600
8788,93503331634,AdX | Crain_National | Crains Austin | Null | Desktop | 300x250
8788,73486739914,AdX | Crain_National | Crains Atlanta | Null | Mobile_Web | 300x50
8788,73486773874,AdX | Crain_National | Crains Atlanta | Null | Desktop | 300x600
8788,73486733794,AdX | Crain_National | Crains Atlanta | Null | Desktop | 300x250
